Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,8,,8,7,7,,6,7,6,,6,7,6,,7,8,6,,6,7,6
2,5,,5,5,5,,5,4,4,,5,5,5,,5,4,5,,5,5,5
3,14,,3,5,5,,6,7,6,,9,9,7,,2,6,6,,7,7,6
4,11,,10,6,10,,10,5,11,,10,4,8,,11,4,11,,11,6,9
5,11,,0,0,0,,4,7,5,,0,0,0,,0,1,1,,0,0,1
6,5,,5,4,5,,5,5,5,,4,4,4,,4,4,4,,4,4,4
7,6,,4,5,6,,5,5,6,,5,5,5,,4,4,4,,5,5,5
8,6,,5,3,4,,5,2,4,,5,3,4,,5,2,4,,6,2,4
9,15,,15,15,15,,14,14,11,,15,15,9,,15,15,14,,15,15,14
10,7,,4,5,6,,5,5,5,,6,6,6,,4,6,5,,4,6,5